area_gr,area_en,region_gr,region_en,geo_department_gr,geo_department_en,last_updated_at,longtitude,latitude,population,total_deaths,total_cases
ΚΟΡΙΝΘΟΥ,Corinthia,Πελοποννήσου,Peloponnese,Πελοπόννησος,Peloponnese,2021-04-12,22.5245093,38.0022977,145082,1.0,2787
ΚΥΚΛΑΔΩΝ,Cyclades,Νοτίου Αιγαίου,South Aegean,Νησιά Αιγαίου Πελάγους,Aegean Islands,2021-04-12,25.068735600000004,37.154824700000006,118027,,1193
ΛΑΚΩΝΙΑΣ,Laconia,Πελοποννήσου,Peloponnese,Πελοπόννησος,Peloponnese,2021-04-12,22.5245093,37.02990870000001,89138,,724
ΛΑΡΙΣΑΣ,Larissa,Θεσσαλίας,Thessaly,Θεσσαλία,Thessaly,2021-04-12,22.4191254,39.6390224,284325,23.0,10724
ΛΑΣΙΘΙΟΥ,Lasithi,Κρήτης,Crete,Κρήτη,Crete,2021-04-12,25.7101789,35.0811693,75381,,495
ΛΕΣΒΟΥ,Lesbos,Βορείου Αιγαίου,North Aegean,Νησιά Αιγαίου Πελάγους,Aegean Islands,2021-04-12,26.277707300000003,39.264509499999996,103698,13.0,2534
ΛΕΥΚΑΔΑΣ,Lefkada,Ιονίων Νήσων,Ionian Islands,Νησιά Ιονίου Πελάγους,Ionian Islands,2021-04-12,20.640729999999998,38.7066464,23693,,225
ΜΑΓΝΗΣΙΑΣ,Magnesia,Θεσσαλίας,Thessaly,Θεσσαλία,Thessaly,2021-04-12,22.762883,39.2686199,203808,7.0,4709
ΜΕΣΣΗΝΙΑΣ,Messenia,Πελοποννήσου,Peloponnese,Πελοπόννησος,Peloponnese,2021-04-12,21.9522491,37.1424653,159954,,1214
ΞΑΝΘΗΣ,Xanthi,Ανατολικής Μακεδονίας Θράκης,Eastern Macedonia and Thrace,Θράκη,Thrace,2021-04-12,24.8877024,41.1362513,111222,14.0,2981
ΠΕΛΛΑΣ,Pella,Κεντρικής Μακεδονίας,Central Macedonia,Μακεδονία,Macedonia,2021-04-12,22.1430215,40.914803899999995,139680,11.0,5767
ΠΙΕΡΙΑΣ,Pieria,Κεντρικής Μακεδονίας,Central Macedonia,Μακεδονία,Macedonia,2021-04-12,22.4768287,40.2669099,126698,8.0,4502
ΠΡΕΒΕΖΑΣ,Preveza,Ηπείρου,Epirus,Ήπειρος,Epirus,2021-04-12,20.7517155,38.9592649,57491,,428
ΡΕΘΥΜΝΟΥ,Rethymno,Κρήτης,Crete,Κρήτη,Crete,2021-04-12,24.491983800000003,35.3655545,85609,,1277
ΡΟΔΟΠΗΣ,Rhodope,Ανατολικής Μακεδονίας Θράκης,Eastern Macedonia and Thrace,Θράκη,Thrace,2021-04-12,25.568108399999996,41.0795681,112039,3.0,2661
ΣΑΜΟΥ,Samos,Βορείου Αιγαίου,North Aegean,Νησιά Αιγαίου Πελάγους,Aegean Islands,2021-04-12,26.9777701,37.7547857,42859,,415
ΣΕΡΡΩΝ,Serres,Κεντρικής Μακεδονίας,Central Macedonia,Μακεδονία,Macedonia,2021-04-12,23.5483819,41.0863854,176430,19.0,5376
ΤΡΙΚΑΛΩΝ,Trikala,Θεσσαλίας,Thessaly,Θεσσαλία,Thessaly,2021-04-12,21.7678951,39.5557317,131085,3.0,2425
ΦΘΙΩΤΙΔΑΣ,Phthiotis,Στερεάς Ελλάδας και Εύβοιας,Central Greece,Στερεά Ελλάδα,Central Greece,2021-04-12,22.333776899999997,38.999784999999996,158231,,2444
ΦΛΩΡΙΝΑΣ,Florina,Δυτικής Μακεδονίας,Western Macedonia,Μακεδονία,Macedonia,2021-04-12,21.413122199999997,40.7845262,51414,2.0,1346
ΦΩΚΙΔΑΣ,Phocis,Στερεάς Ελλάδας και Εύβοιας,Central Greece,Στερεά Ελλάδα,Central Greece,2021-04-12,22.1430215,38.5598641,40343,,425
ΧΑΛΚΙΔΙΚΗΣ,Chalkidiki,Κεντρικής Μακεδονίας,Central Macedonia,Μακεδονία,Macedonia,2021-04-12,23.287085,40.369499700000006,107719,5.0,3597
ΧΑΝΙΩΝ,Chania,Κρήτης,Crete,Κρήτη,Crete,2021-04-12,24.0180367,35.513829799999996,156585,1.0,1653
ΧΙΟΥ,Chios,Βορείου Αιγαίου,North Aegean,Νησιά Αιγαίου Πελάγους,Aegean Islands,2021-04-12,26.1310056,38.368182399999995,52674,,779
